   cycle        dt        T[K]         rho          v_r        e_int       delta_u       rt_src        rt_de        rt_Fb        rt_Ft        rt_Em  rt_clip     T[i-4]     T[i-2]     T[i+2]     T[i+4]
  138914    0.1043  4.7440e+06  1.8930e-12   1.2898e+07   1.7399e+03   2.06787e+02  -1.3689e+11  -9.4247e+01   1.4750e+21   1.4851e+21   6.4242e+11    0.000   4.18e+06  4.461e+06  4.354e+06  4.364e+06
  138919    0.1092  4.0420e+06  3.2844e-12   2.9097e+07   2.5976e+03   5.80961e+02  -1.5037e+11  -1.3563e+02   1.1299e+21   1.1409e+21   7.3557e+11    0.000  3.678e+06  3.886e+06  3.879e+06  3.869e+06
  138924    0.1161  3.3318e+06  5.2535e-12   4.1868e+07   3.4505e+03   9.58299e+02  -1.6699e+11  -1.8759e+02   8.6432e+20   8.7657e+20   7.9352e+11    0.000  3.171e+06  3.287e+06  3.472e+06  3.437e+06
  138929    0.1254  2.9331e+06  6.9877e-12   5.1252e+07   4.1292e+03   1.04040e+03  -7.2465e+10  -1.2677e+02   6.7048e+20   6.7580e+20   6.0349e+11    0.000  2.694e+06  2.817e+06    3.2e+06  3.052e+06
  138934    0.1378  2.7663e+06  7.8231e-12   5.7675e+07   4.4161e+03   6.49442e+02  -1.8117e+10  -5.2054e+01   5.2210e+20   5.2343e+20   3.8938e+11    0.000  2.424e+06   2.59e+06  3.086e+06  2.712e+06
  138939    0.1545  2.4525e+06  7.9484e-12   6.2000e+07   4.0086e+03   1.87412e+02  -1.6530e+10  -7.0531e+01   4.0825e+20   4.0946e+20   2.3799e+11    0.000   2.23e+06  2.377e+06  2.549e+06  2.427e+06
  138944    0.1772  2.0149e+06  7.6496e-12   6.4502e+07   3.2202e+03  -1.32966e+02  -1.2089e+10  -7.2508e+01   3.1757e+20   3.1845e+20   1.3566e+11    0.000  1.926e+06  1.985e+06  2.019e+06  2.209e+06
  138949    0.2080  1.7733e+06  7.2528e-12   6.5334e+07   2.7465e+03  -1.79284e+02   1.7745e+08   1.8344e+00   2.4535e+20   2.4534e+20   6.6227e+10    0.000  1.621e+06  1.684e+06  1.915e+06  2.224e+06
  138954    0.2505  1.6304e+06  6.9319e-12   6.4884e+07   2.4159e+03  -2.89425e+02  -6.7160e+08  -1.0888e+01   1.8606e+20   1.8611e+20   3.7296e+10    0.000  1.447e+06  1.555e+06  1.684e+06  1.733e+06
  138959    0.2689  1.3456e+06  7.3665e-12   6.1343e+07   2.1651e+03   4.40488e+01   1.1443e+08   2.8107e+00   1.3887e+20   1.3886e+20   2.1803e+10    0.000   1.26e+06   1.32e+06  1.411e+06  1.486e+06
  138964    0.2776  1.2068e+06  9.4423e-12   5.7250e+07   2.5088e+03   5.32009e+02   3.4708e+08   1.3408e+01   1.0384e+20   1.0381e+20   1.6119e+10    0.000  1.084e+06  1.154e+06  1.256e+06   1.29e+06
  138969    0.2868  1.0427e+06  1.2188e-11   5.3805e+07   2.8161e+03   4.72144e+02  -1.2637e+08  -7.1358e+00   7.6606e+19   7.6615e+19   1.2447e+10    0.000  9.622e+05   1.01e+06  1.066e+06  1.098e+06
  138974    0.2961  9.1352e+05  1.5138e-11   5.0955e+07   3.0874e+03   4.80335e+02  -1.1664e+08  -9.9162e+00   5.5187e+19   5.5195e+19   9.0803e+09    0.000  8.539e+05  8.846e+05  9.353e+05   9.51e+05
  138979    0.3051  8.0458e+05  1.8653e-11   4.8594e+07   3.3809e+03   5.84223e+02  -1.3813e+08  -1.7090e+01   3.8609e+19   3.8619e+19   6.8421e+09    0.000  7.688e+05  7.872e+05  8.178e+05  8.262e+05
  138984    0.3137  7.1533e+05  2.2870e-11   4.6522e+07   3.7247e+03   6.29522e+02  -1.0814e+08  -1.9010e+01   2.6164e+19   2.6172e+19   5.3083e+09    0.000  6.988e+05  7.061e+05  7.237e+05  7.286e+05
  138989    0.3221  6.4133e+05  2.7619e-11   4.4552e+07   4.0790e+03   5.84335e+02  -8.0228e+07  -1.9576e+01   1.7189e+19   1.7195e+19   4.1882e+09    0.000  6.385e+05  6.391e+05  6.454e+05  6.504e+05
  138994    0.3307  5.7847e+05  3.2699e-11   4.2641e+07   4.4073e+03   4.96093e+02  -6.2329e+07  -2.0842e+01   1.1021e+19   1.1025e+19   3.3022e+09    0.000  5.845e+05  5.812e+05  5.773e+05  5.774e+05
  138999    0.3393  5.2300e+05  3.8000e-11   4.0806e+07   4.6893e+03   4.07834e+02  -4.7949e+07  -2.1804e+01   6.9252e+18   6.9287e+18   2.5832e+09    0.000  5.351e+05  5.293e+05  5.194e+05  5.204e+05
  139004    0.3476  4.7421e+05  4.3455e-11   3.9069e+07   4.9262e+03   3.22610e+02  -3.8216e+07  -2.3626e+01   4.2969e+18   4.2997e+18   1.9963e+09    0.000  4.893e+05  4.822e+05  4.679e+05  4.659e+05
  139009    0.3560  4.2943e+05  4.9016e-11   3.7438e+07   5.1053e+03   2.48924e+02  -3.0328e+07  -2.5543e+01   2.6458e+18   2.6480e+18   1.5187e+09    0.000  4.468e+05  4.389e+05   4.22e+05  4.197e+05
  139014    0.3647  3.8911e+05  5.4659e-11   3.5922e+07   5.2394e+03   1.93459e+02  -2.3707e+07  -2.7376e+01   1.6217e+18   1.6234e+18   1.1369e+09    0.000  4.074e+05  3.991e+05  3.805e+05  3.765e+05
  139019    0.3734  3.5219e+05  6.0387e-11   3.4528e+07   5.3292e+03   1.55023e+02  -1.8714e+07  -2.9748e+01   9.8929e+17   9.9066e+17   8.4022e+08    0.000  3.707e+05  3.625e+05  3.428e+05  3.383e+05
  139024    0.3826  3.1843e+05  6.6274e-11   3.3259e+07   5.3880e+03   1.48908e+02  -1.4412e+07  -3.1779e+01   6.0329e+17   6.0435e+17   6.1244e+08    0.000  3.364e+05  3.287e+05  3.087e+05  3.033e+05
  139029    0.3921  2.8748e+05  7.2545e-11   3.2119e+07   5.4353e+03   1.87009e+02  -1.1038e+07  -3.3966e+01   3.6754e+17   3.6835e+17   4.4280e+08    0.000  3.043e+05  2.976e+05  2.777e+05  2.719e+05
  139034    0.4022  2.5920e+05  7.9608e-11   3.1110e+07   5.5009e+03   2.84693e+02  -8.3797e+06  -3.6191e+01   2.2450e+17   2.2512e+17   3.1933e+08    0.000  2.741e+05  2.688e+05  2.495e+05  2.433e+05
