=== cycle 138770  time 1742728.813024  dt 11.16660
   i        T[K]         rho          v_r         rt_de       delta_u
=== cycle 138784  time 1742857.937517  dt 3.80275
   i        T[K]         rho          v_r         rt_de       delta_u
  48  1.5617e+03  6.5797e-10  -9.1605e+05   7.12469e-02  -1.66033e+01
  49  1.0397e+03  5.2820e-10  -8.7495e+05   4.79670e-02  -1.63975e+01
  50  5.3574e+02  3.9648e-10  -8.6211e+05   9.86445e-02  -8.74690e+00
  51  3.5084e+02  2.7729e-10  -8.5084e+05   4.46131e-02  -6.53356e+00
  52  1.0612e+03  1.5204e-10  -8.8724e+05  -2.80844e-02  -1.18411e+00
  53  1.8836e+03  5.1651e-11  -1.8368e+06  -4.95648e-03   5.35810e+01
  54  2.0000e+02  5.6260e-12  -4.5285e+06   1.47795e-03  -7.93869e-01
  55  2.0000e+02  9.7171e-12  -1.2104e+06   2.30610e-03  -1.25431e+00
  56  7.7328e+02  1.4231e-11  -6.8771e+05  -3.47073e-04   8.12549e-01
  57  1.5763e+03  1.2318e-11  -5.9297e+05  -5.71477e-03   7.04357e-01
  58  1.7135e+03  8.2312e-12  -5.7016e+05  -4.41509e-03   4.64274e-01
=== cycle 138785  time 1742861.740264  dt 3.50205
   i        T[K]         rho          v_r         rt_de       delta_u
  48  1.5637e+03  6.5360e-10  -9.1286e+05   8.10912e-02  -1.33424e+01
  49  9.5651e+02  5.2470e-10  -8.7290e+05   4.19084e-02  -1.36688e+01
  50  5.6479e+02  3.9357e-10  -8.5881e+05   7.84330e-02  -7.04967e+00
  51  3.8903e+02  2.7430e-10  -8.5274e+05   2.81700e-02  -5.63927e+00
  52  1.3876e+03  1.4912e-10  -8.9824e+05  -5.90724e-02   1.83482e+00
  53  2.0159e+03  4.6123e-11  -2.0343e+06  -4.61857e-03   3.27815e+01
  54  2.0000e+02  4.2657e-12  -4.9261e+06   1.28609e-03  -2.25698e+01
  55  2.0000e+02  1.0228e-11  -1.1392e+06   2.71685e-03  -3.19824e-01
  56  9.4433e+02  1.4567e-11  -6.7072e+05  -1.79666e-05   7.83255e-01
  57  1.6004e+03  1.2537e-11  -5.8083e+05  -4.37624e-03   6.37019e-01
  58  1.7235e+03  8.3553e-12  -5.5825e+05  -3.35221e-03   4.21918e-01
=== cycle 138786  time 1742865.242319  dt 3.32323
   i        T[K]         rho          v_r         rt_de       delta_u
  48  1.5629e+03  6.4986e-10  -9.1024e+05   8.91086e-02  -1.16741e+01
  49  8.8657e+02  5.2140e-10  -8.7103e+05   3.78555e-02  -1.22598e+01
  50  5.9247e+02  3.9103e-10  -8.5621e+05   6.72128e-02  -5.96358e+00
  51  4.2737e+02  2.7153e-10  -8.5473e+05   9.71382e-03  -5.08054e+00
  52  1.6042e+03  1.4625e-10  -9.1210e+05  -7.02559e-02   3.49531e+00
  53  2.0263e+03  4.0795e-11  -2.2343e+06  -2.47017e-03   1.69836e+01
  54  2.0000e+02  3.3164e-12  -5.1966e+06   1.06187e-03  -2.77907e+01
  55  2.0000e+02  1.0728e-11  -1.0825e+06   2.78332e-03   3.30697e-02
  56  1.1033e+03  1.4892e-11  -6.5511e+05  -1.28040e-04   7.80907e-01
  57  1.6193e+03  1.2746e-11  -5.6952e+05  -3.79663e-03   6.08651e-01
  58  1.7322e+03  8.4758e-12  -5.4709e+05  -2.85749e-03   4.05280e-01
=== cycle 138787  time 1742868.565552  dt 3.21114
   i        T[K]         rho          v_r         rt_de       delta_u
  48  1.5595e+03  6.4631e-10  -9.0777e+05   9.44921e-02  -1.13130e+01
  49  8.2616e+02  5.1825e-10  -8.6933e+05   3.47806e-02  -1.12838e+01
  50  6.1971e+02  3.8870e-10  -8.5406e+05   5.15585e-02  -5.32186e+00
  51  4.7362e+02  2.6890e-10  -8.5680e+05   1.26794e-03  -4.41814e+00
  52  1.7049e+03  1.4306e-10  -9.2948e+05  -6.04357e-02   3.91020e+00
  53  1.9433e+03  3.5626e-11  -2.4471e+06   6.94377e-04   2.95811e+00
  54  2.0000e+02  2.6466e-12  -5.3816e+06   8.56891e-04  -2.64133e+01
  55  2.0000e+02  1.1214e-11  -1.0349e+06   2.57932e-03   2.15745e-01
  56  1.2485e+03  1.5213e-11  -6.4025e+05  -7.94657e-04   7.90026e-01
  57  1.6349e+03  1.2951e-11  -5.5869e+05  -3.68381e-03   5.96595e-01
  58  1.7399e+03  8.5957e-12  -5.3637e+05  -2.69291e-03   3.99584e-01
=== cycle 138788  time 1742871.776693  dt 3.14618
   i        T[K]         rho          v_r         rt_de       delta_u
  48  1.5532e+03  6.4282e-10  -9.0539e+05   9.29698e-02  -1.15600e+01
  49  7.7281e+02  5.1523e-10  -8.6780e+05   3.28306e-02  -1.05060e+01
  50  6.4708e+02  3.8646e-10  -8.5218e+05   4.13394e-02  -4.98446e+00
  51  5.5168e+02  2.6634e-10  -8.5897e+05  -1.92024e-02  -3.94080e+00
  52  1.7619e+03  1.3958e-10  -9.5061e+05   9.25068e-03   4.41549e+00
  53  3.9856e+02  3.0586e-11  -2.6860e+06   1.58291e-02  -1.04095e+01
  54  2.0000e+02  2.1739e-12  -5.4948e+06   4.45436e-04  -2.30866e+01
  55  2.0000e+02  1.1689e-11  -9.9333e+05   9.10537e-04   3.28227e-01
  56  1.3639e+03  1.5535e-11  -6.2588e+05  -3.32597e-03   8.04845e-01
  57  1.6483e+03  1.3156e-11  -5.4817e+05  -5.04217e-03   5.92532e-01
  58  1.7468e+03  8.7170e-12  -5.2590e+05  -3.41182e-03   3.99159e-01
=== cycle 138789  time 1742874.922869  dt 3.47812
   i        T[K]         rho          v_r         rt_de       delta_u
  48  1.5366e+03  6.3935e-10  -9.0309e+05   9.64963e-02  -1.19361e+01
  49  7.2492e+02  5.1230e-10  -8.6641e+05   3.24960e-02  -9.89444e+00
  50  6.7640e+02  3.8425e-10  -8.5045e+05   3.28709e-02  -4.80601e+00
  51  6.2462e+02  2.6383e-10  -8.6126e+05  -1.58307e-02  -3.70375e+00
  52  1.8014e+03  1.3609e-10  -9.7748e+05   6.71713e-03   8.25259e+00
  53  2.0000e+02  2.5660e-11  -2.9638e+06   5.88121e-03   6.35833e+00
  54  2.0000e+02  2.1612e-12  -4.8096e+06   3.94125e-04  -3.23074e+01
  55  2.0000e+02  1.2155e-11  -9.5598e+05   7.59811e-04   4.06352e-01
  56  1.4407e+03  1.5863e-11  -6.1180e+05  -3.48104e-03   8.28477e-01
  57  1.6598e+03  1.3361e-11  -5.3783e+05  -4.90526e-03   5.96363e-01
  58  1.7531e+03  8.8411e-12  -5.1556e+05  -3.27104e-03   4.03516e-01
=== cycle 138790  time 1742878.400987  dt 4.35917
   i        T[K]         rho          v_r         rt_de       delta_u
  48  1.5139e+03  6.3551e-10  -9.0060e+05   1.12116e-01  -1.35136e+01
  49  6.7626e+02  5.0910e-10  -8.6499e+05   4.55197e-02  -1.05062e+01
  50  7.1116e+02  3.8179e-10  -8.4872e+05   2.95955e-02  -5.20595e+00
  51  7.1797e+02  2.6107e-10  -8.6410e+05  -1.81428e-02  -3.48458e+00
  52  1.8917e+03  1.3292e-10  -1.0439e+06   3.66307e-04   5.19236e+01
  53  2.0000e+02  1.9567e-11  -3.2388e+06   5.05428e-03  -4.31420e+01
  54  2.0000e+02  2.5203e-12  -3.9374e+06   6.06192e-04  -2.37918e+01
  55  2.0000e+02  1.2672e-11  -9.1811e+05   5.94742e-04   5.32124e-01
  56  1.4982e+03  1.6239e-11  -5.9696e+05  -3.75553e-03   9.69232e-01
  57  1.6714e+03  1.3596e-11  -5.2569e+05  -5.48231e-03   6.73548e-01
