
--- exp_g3 k=16 j=17 : T [K] vs i (columns i=48..58) ---
  138782   5.613 -3.19e+01 -2.99e+01 -1.41e+01 -1.32e+01 -3.24e+00  2.32e+01  3.44e+01 -8.87e+00  8.14e-01  1.02e+00  6.70e-01
  138783   4.389 -2.27e+01 -2.22e+01 -1.20e+01 -8.52e+00 -1.87e+00  3.39e+01  4.64e+01 -3.79e+00  8.77e-01  8.54e-01  5.61e-01
  138784   3.803 -1.66e+01 -1.64e+01 -8.75e+00 -6.53e+00 -1.18e+00  5.36e+01 -7.94e-01 -1.25e+00  8.13e-01  7.04e-01  4.64e-01
  138785   3.502 -1.33e+01 -1.37e+01 -7.05e+00 -5.64e+00  1.83e+00  3.28e+01 -2.26e+01 -3.20e-01  7.83e-01  6.37e-01  4.22e-01
  138786   3.323 -1.17e+01 -1.23e+01 -5.96e+00 -5.08e+00  3.50e+00  1.70e+01 -2.78e+01  3.31e-02  7.81e-01  6.09e-01  4.05e-01
  138787   3.211 -1.13e+01 -1.13e+01 -5.32e+00 -4.42e+00  3.91e+00  2.96e+00 -2.64e+01  2.16e-01  7.90e-01  5.97e-01  4.00e-01
  138788   3.146 -1.16e+01 -1.05e+01 -4.98e+00 -3.94e+00  4.42e+00 -1.04e+01 -2.31e+01  3.28e-01  8.05e-01  5.93e-01  3.99e-01
  138789   3.478 -1.19e+01 -9.89e+00 -4.81e+00 -3.70e+00  8.25e+00  6.36e+00 -3.23e+01  4.06e-01  8.28e-01  5.96e-01  4.04e-01
  138790   4.359 -1.35e+01 -1.05e+01 -5.21e+00 -3.48e+00  5.19e+01 -4.31e+01 -2.38e+01  5.32e-01  9.69e-01  6.74e-01  4.62e-01
  138791   4.675 -1.87e+01 -1.01e+01 -6.93e+00 -4.80e-01  1.05e+02 -6.23e+01 -1.92e+01  7.87e-01  1.19e+00  8.94e-01  6.16e-01
  138792   3.697 -1.96e+01 -1.07e+01 -6.28e+00  6.37e+00  1.12e+02  5.76e+01 -1.54e+01  1.05e+00  1.35e+00  1.00e+00  6.90e-01
  138793   2.809 -1.38e+01 -7.74e+00 -4.41e+00 -1.35e+01  1.27e+02  1.42e+02 -7.91e+00  1.05e+00  2.23e+00  1.53e+00  9.12e-01
  138794   2.158 -4.95e+00 -5.58e+00 -3.45e+00 -7.29e+00  1.64e+02  1.80e+02 -2.45e+00  9.48e-01  3.81e+00  1.89e+00  9.39e-01
  138795   1.653  4.08e+00 -4.03e+00 -2.94e+00 -4.19e+00  2.29e+02  2.38e+02 -3.02e-01  8.45e-01  5.23e+00  1.85e+00  8.50e-01
  138796   1.246  1.13e+01 -3.03e+00 -2.31e+00 -1.44e+00  3.38e+02  3.50e+02  3.83e-01  7.76e-01  6.87e+00  1.77e+00  7.57e-01
  138797   0.949  1.96e+01 -2.22e+00 -1.73e+00  5.65e-01  4.82e+02  4.65e+02  4.64e-01  1.58e+00  9.45e+00  1.76e+00  7.43e-01
  138798   0.745  1.19e+02 -1.62e+00 -1.16e+00  4.52e+00  3.59e+02  5.54e+02  4.08e-01  3.45e+00  2.77e+01  7.88e+00  4.49e+00
  138799   0.607  1.18e+02 -1.21e+00 -6.92e-01 -2.17e+00  4.31e+02  6.07e+02  3.44e-01  6.85e+00  1.98e+01  1.44e+01  4.27e+00
  138800   0.526  3.59e+02 -5.01e-01  1.28e+00  2.14e+00 -1.20e+02  5.56e+02  2.96e-01  1.34e+01  6.56e+01  3.28e+01  1.43e+01
